Ranking,Crypto_Name,Price,Changes_24H,Changes_7D,Changes_30D,Changes_1Y,Market_Cap,Volume_24H,Available_Supply,Price_Yesterday,Price_Last_Week,Price_Last_Month,Price_Last_Year
47,THE SANDBOX,$3.88,-3.70%,22.69%,-34.32%,4325.82%,$3.57 B,$1.05 B,925.05 M SAND,$3.74,$4.76,$2.55,$171.72
48,THORCHAIN,$3.85,-8.54%,-1.56%,-43.50%,-0.24%,$1.16 B,$34.28 M,300.75 M RUNE,$3.52,$3.79,$2.18,$3.84
49,LEO TOKEN,$3.59,2.66%,0.42%,-4.72%,156.78%,156.78%,$445.62 K,937.38 M LEO,$3.69,$3.61,$3.42,$9.22
50,TEZOS,$3.18,-5.78%,3.67%,-26.91%,10.55%,$2.79 B,$176.23 M,875.16 M XTZ,$3.00,$3.30,$2.32,$3.52
51,CURVE DAO TOKEN,$2.98,-1.39%,-0.52%,-44.13%,19.09%,$1.17 B,$424.35 M,391.96 M CRV,$2.94,$2.96,$1.66,$3.55
52,CELO,$2.93,-7.66%,-12.17%,-39.96%,1.91%,$1.14 B,$32.57 M,387.11 M CELO,$2.71,$2.57,$1.76,$2.99
53,THETA NETWORK,$2.72,-11.17%,-1.82%,-42.13%,37.12%,$2.74 B,$155.85 M,1.00 B THETA,$2.42,$2.67,$1.57,$3.73
54,DECENTRALAND,$2.53,-0.27%,21.60%,-21.53%,1555.99%,$3.91 B,$872.59 M,1.52 B MANA,$2.52,$3.08,$1.99,$41.90
55,CELSIUS NETWORK,$2.55,2.99%,2.72%,-41.61%,-46.97%,$1.08 B,$3.17 M,423.42 M CEL,$2.63,$2.62,$1.49,$1.35
56,EOS,$2.24,-5.01%,-1.65%,-26.52%,-23.25%,$2.20 B,$233.71 M,982.66 M EOS,$2.13,$2.20,$1.65,$1.72
57,FANTOM,$1.93,-10.46%,-14.35%,-14.23%,1369.24%,$4.92 B,$691.50 M,2.54 B FTM,$1.73,$1.65,$1.66,$28.36
58,NEXO,$1.78,0.44%,-4.04%,-25.28%,107.61%,$996.36 M,$4.21 M,560.00 M NEXO,$1.79,$1.71,$1.33,$3.70
59,ENJIN COIN,$1.76,-4.87%,9.75%,-31.75%,428.20%,$1.64 B,$219.25 M,934.34 M ENJ,$1.67,$1.93,$1.20,$9.30
60,POLYGON,$1.54,-7.84%,-4.19%,-38.94%,3787.96%,$10.61 B,$808.97 M,6.87 B MATIC,$1.42,$1.48,$0.94,$59.87
61,STACKS,$1.45,-6.28%,-2.23%,-34.50%,238.80%,$1.52 B,$40.57 M,1.05 B STX,$1.36,$1.42,$0.95,$4.91
62,POCKET NETWORK,$1.36,$1.36,2.93%,0.01%,0.01%,$947.08 M,$7.18 M,697.00 M POKT,$3.21,$1.40,$1.36,$1.36
63,KLAYTN,$1.16,-4.69%,-6.51%,-9.68%,119.90%,$3.05 B,$20.45 M,2.63 B KLAY,$1.11,$1.08,$1.05,$2.55
64,CARDANO,$1.02,-4.86%,-9.44%,-22.54%,181.65%,$32.59 B,$693.93 M,32.07 B ADA,$0.97,$0.92,$0.79,$2.87
65,PAX DOLLAR,$1.00,0.01%,0.03%,0.29%,0.71%,$1.04 B,$10.44 M,1.03 B USDP,$1.00,$1.00,$1.00,$1.01
66,TRUEUSD,$1.00,0.01%,-0.03%,0.31%,0.64%,$1.50 B,$83.06 M,1.50 B TUSD,$1.00,$1.00,$1.00,$1.01
67,FRAX,$1.00,0.23%,-0.67%,-0.07%,1.85%,$2.65 B,$11.76 M,2.64 B FRAX,$1.00,$0.99,$1.00,$1.02
68,DAI,$1.00,0.22%,-0.03%,0.34%,0.69%,$9.16 B,$175.84 M,9.14 B DAI,$1.00,$1.00,$1.00,$1.01
69,TERRAUSD,$1.00,-0.02%,0.13%,0.23%,2.62%,$11.29 B,$210.84 M,11.27 B UST,$1.00,$1.00,$1.00,$1.03
70,BINANCE USD,$1.00,-0.01%,-0.14%,0.22%,0.66%,$15.02 B,$2.49 B,14.98 B BUSD,$1.00,$1.00,$1.00,$1.01
71,USD COIN,$1.00,0.01%,-0.24%,0.22%,0.62%,$49.96 B,$2.10 B,49.79 B USDC,$1.00,$1.00,$1.00,$1.01
72,TETHER,$1.00,-0.33%,0.18%,0.32%,0.53%,$78.26 B,$32.57 B,78.12 B USDT,$1.00,$1.00,$1.00,$1.01
73,MAGIC INTERNET MONEY,$0.99,0.07%,-0.65%,-0.29%,0.01%,$3.89 B,$209.32 M,3.92 B MIM,$0.99,$0.98,$0.99,$0.99
74,LOOPRING,$0.95,-4.81%,10.45%,-54.75%,92.73%,$1.18 B,$242.77 M,1.25 B LRC,$0.90,$1.05,$0.43,$1.83
75,ALGORAND,$0.91,-6.45%,-7.19%,44.80%,39.34%,$6.00 B,$165.50 M,6.55 B ALGO,$0.85,$0.84,$1.32,$1.27
76,BASIC ATTENTION TOKEN,$0.82,-3.49%,8.66%,-32.31%,162.46%,$1.23 B,$91.52 M,1.49 B BAT,$0.79,$0.89,$0.56,$2.15
77,IOTA,$0.80,-6.08%,-2.68%,-41.96%,86.76%,$2.21 B,$22.99 M,2.78 B MIOTA,$0.75,$0.78,$0.46,$1.49
78,XRP,$0.59,-5.63%,-7.03%,-29.61%,35.82%,$27.95 B,$2.27 B,47.74 B XRP,$0.56,$0.55,$0.42,$0.80
79,CRYPTO.COM COIN,$0.40,-6.89%,7.27%,-27.51%,521.59%,$10.24 B,$115.68 M,25.26 B CRO,$0.37,$0.43,$0.29,$2.49
80,THE GRAPH,$0.38,-8.27%,-7.43%,-40.56%,-39.65%,$2.36 B,$60.12 M,6.16 B GRT,$0.35,$0.35,$0.23,$0.23
81,OASIS NETWORK,$0.30,-7.12%,-14.87%,-30.50%,436.24%,$1.05 B,$95.83 M,3.49 B ROSE,$0.28,$0.26,$0.21,$1.61
82,HEDERA,$0.21,-6.85%,-4.43%,-27.20%,161.53%,$4.00 B,$44.51 M,18.87 B HBAR,$0.20,$0.20,$0.15,$0.55
83,STELLAR,$0.19,-6.19%,-3.82%,-27.89%,-40.39%,$4.79 B,$174.57 M,24.84 B XLM,$0.18,$0.18,$0.14,$0.11
84,GALA,$0.18,-9.79%,-6.82%,-59.57%,6017.42%,$1.39 B,$456.98 M,7.54 B GALA,$0.16,$0.17,$0.07,$11.01
85,HARMONY,$0.18,-8.34%,-14.46%,-24.84%,1838.46%,$2.06 B,$93.40 M,11.69 B ONE,$0.16,$0.15,$0.14,$3.49
86,CHILIZ,$0.17,-7.13%,-5.28%,-5.28%,736.47%,$937.92 M,$102.38 M,5.34 B CHZ,$0.16,$0.16,$0.16,$1.42
87,THETA FUEL,$0.17,-0.06%,22.55%,-10.14%,506.73%,$1.89 B,$24.46 M,0,$0.17,$0.21,$0.15,$1.03
88,RADIX,$0.17,-2.00%,-6.50%,-32.51%,0.01%,$1.62 B,$222.03 K,9.76 B XRD,$0.17,$0.16,$0.11,$0.17
89,DOGECOIN,$0.14,-4.41%,-2.94%,-19.37%,382.19%,$18.25 B,$429.44 M,132.67 B DOGE,$0.13,$0.14,$0.11,$0.68
90,NEM,$0.10,-5.19%,1.07%,-19.81%,-57.17%,$889.30 M,$18.66 M,9.00 B XEM,$0.09,$0.10,$0.08,$0.04
91,TRON,$0.06,-4.78%,-0.85%,-24.46%,79.55%,$5.81 B,$515.82 M,101.80 B TRX,$0.06,$0.06,$0.05,$0.11
92,VECHAIN,$0.05,-7.30%,-3.34%,-38.74%,90.40%,$3.41 B,$172.89 M,66.76 B VET,$0.05,$0.05,$0.03,$0.10
93,AMP,$0.03,-5.01%,-2.33%,-41.04%,273.59%,$1.37 B,$11.14 M,48.01 B AMP,$0.03,$0.03,$0.02,$0.11
94,CUSDC,$0.02,0.08%,-0.12%,67.10%,4.99%,$2.23 B,$56.68 M,98.95 B CUSDC,$0.02,$0.02,$0.03,$0.02
95,CDAI,$0.02,0.09%,-0.16%,0.37%,4.51%,$2.63 B,$227.31 K,119.95 B CDAI,$0.02,$0.02,$0.02,$0.02
96,ECOMI,$0.01,-6.53%,4.42%,9.77%,9999.99%,$3.99 B,$4.01 M,581.91 B OMI,$0.01,$0.01,$0.01,$1.01
97,BITTORRENT,$0.01,$0.01,-1.10%,-19.83%,481.49%,$2.04 B,$283.87 K,932.50 B BTTOLD,$0.01,$0.01,$0.01,$0.06
98,SAFEMOON,$0.01,-3.19%,-3.72%,-34.03%,0.01%,$933.63 M,$410.28 K,566.50 B SFM,$0.01,$0.01,$0.01,$0.01
99,ECASH,$0.01,-3.71%,-1.41%,-32.83%,0.01%,$1.40 B,$19.78 M,18.97 T XEC,$0.01,$0.01,$0.01,$0.01
100,SHIBA INU,$0.01,-6.68%,-8.16%,-38.56%,9999.99%,$11.27 B,$443.94 M,549.15 T SHIB,$0.01,$0.01,$0.01,$1.01
